="",="(1)",="",="(2)",="",="(3)",="",="(4)",=""
="",="(max) complex10",="",="(max) complex10",="",="(max) complex10",="",="(max) complex10",=""
="",="b/se",="",="b/se",="",="b/se",="",="b/se",=""
="(max) complex10",="",="",="",="",="",="",="",=""
="(max) female=0",="0.00",="",="0.00",="",="0.00",="",="0.00",=""
="",="(.)",="",="(.)",="",="(.)",="",="(.)",=""
="(max) female=1",="0.12",="***",="0.13",="***",="0.14",="***",="0.13",="***"
="",="(0.01)",="",="(0.01)",="",="(0.02)",="",="(0.02)",=""
="(max) raceethnicity=1",="",="",="0.00",="",="0.00",="",="0.00",=""
="",="",="",="(.)",="",="(.)",="",="(.)",=""
="(max) raceethnicity=2",="",="",="-0.06",="*",="0.03",="",="-0.06",="*"
="",="",="",="(0.03)",="",="(0.04)",="",="(0.03)",=""
="(max) raceethnicity=3",="",="",="0.05",="",="0.09",="**",="0.05",=""
="",="",="",="(0.03)",="",="(0.03)",="",="(0.03)",=""
="(max) raceethnicity=4",="",="",="0.01",="",="-0.00",="",="0.01",=""
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) raceethnicity=5",="",="",="-0.04",="",="-0.04",="",="-0.04",=""
="",="",="",="(0.04)",="",="(0.05)",="",="(0.04)",=""
="(max) edcat=1",="",="",="-0.09",="***",="-0.09",="***",="-0.12",="***"
="",="",="",="(0.03)",="",="(0.03)",="",="(0.03)",=""
="(max) edcat=2",="",="",="-0.02",="",="-0.02",="",="-0.02",=""
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) edcat=3",="",="",="-0.02",="",="-0.02",="",="-0.02",=""
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) edcat=4",="",="",="0.00",="",="0.00",="",="0.00",=""
="",="",="",="(.)",="",="(.)",="",="(.)",=""
="(max) marstat=1",="",="",="0.00",="",="0.00",="",="0.00",=""
="",="",="",="(.)",="",="(.)",="",="(.)",=""
="(max) marstat=2",="",="",="0.04",="",="0.05",="",="0.04",=""
="",="",="",="(0.03)",="",="(0.03)",="",="(0.03)",=""
="(max) marstat=3",="",="",="-0.03",="",="-0.02",="",="-0.02",=""
="",="",="",="(0.04)",="",="(0.04)",="",="(0.04)",=""
="(max) marstat=4",="",="",="-0.01",="",="-0.00",="",="-0.01",=""
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) exfamdum",="",="",="-0.05",="**",="-0.05",="**",="-0.05",="**"
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) numberhhchild",="",="",="0.01",="",="0.01",="",="0.01",=""
="",="",="",="(0.01)",="",="(0.01)",="",="(0.01)",=""
="(max) kidu2dum",="",="",="0.08",="***",="0.08",="***",="0.09",="***"
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) kid2to5",="",="",="0.04",="*",="0.04",="*",="0.04",="**"
="",="",="",="(0.02)",="",="(0.02)",="",="(0.02)",=""
="(max) teage",="",="",="0.00",="***",="0.00",="***",="0.00",="***"
="",="",="",="(0.00)",="",="(0.00)",="",="(0.00)",=""
="(max) weekend",="",="",="0.00",="",="0.01",="",="0.00",=""
="",="",="",="(0.01)",="",="(0.01)",="",="(0.01)",=""
="(max) female=0 # (max) raceethnicity=1",="",="",="",="",="0.00",="",="",=""
="",="",="",="",="",="(.)",="",="",=""
="(max) female=0 # (max) raceethnicity=2",="",="",="",="",="0.00",="",="",=""
="",="",="",="",="",="(.)",="",="",=""
="(max) female=0 # (max) raceethnicity=3",="",="",="",="",="0.00",="",="",=""
="",="",="",="",="",="(.)",="",="",=""
="(max) female=0 # (max) raceethnicity=4",="",="",="",="",="0.00",="",="",=""
="",="",="",="",="",="(.)",="",="",=""
="(max) female=0 # (max) raceethnicity=5",="",="",="",="",="0.00",="",="",=""
="",="",="",="",="",="(.)",="",="",=""
="(max) female=1 # (max) raceethnicity=1",="",="",="",="",="0.00",="",="",=""
="",="",="",="",="",="(.)",="",="",=""
="(max) female=1 # (max) raceethnicity=2",="",="",="",="",="-0.14",="**",="",=""
="",="",="",="",="",="(0.05)",="",="",=""
="(max) female=1 # (max) raceethnicity=3",="",="",="",="",="-0.08",="",="",=""
="",="",="",="",="",="(0.05)",="",="",=""
="(max) female=1 # (max) raceethnicity=4",="",="",="",="",="0.01",="",="",=""
="",="",="",="",="",="(0.03)",="",="",=""
="(max) female=1 # (max) raceethnicity=5",="",="",="",="",="-0.01",="",="",=""
="",="",="",="",="",="(0.08)",="",="",=""
="(max) female=0 # (max) edcat=1",="",="",="",="",="",="",="0.00",=""
="",="",="",="",="",="",="",="(.)",=""
="(max) female=0 # (max) edcat=2",="",="",="",="",="",="",="0.00",=""
="",="",="",="",="",="",="",="(.)",=""
="(max) female=0 # (max) edcat=3",="",="",="",="",="",="",="0.00",=""
="",="",="",="",="",="",="",="(.)",=""
="(max) female=0 # (max) edcat=4",="",="",="",="",="",="",="0.00",=""
="",="",="",="",="",="",="",="(.)",=""
="(max) female=1 # (max) edcat=1",="",="",="",="",="",="",="0.08",=""
="",="",="",="",="",="",="",="(0.05)",=""
="(max) female=1 # (max) edcat=2",="",="",="",="",="",="",="-0.01",=""
="",="",="",="",="",="",="",="(0.04)",=""
="(max) female=1 # (max) edcat=3",="",="",="",="",="",="",="0.01",=""
="",="",="",="",="",="",="",="(0.03)",=""
="(max) female=1 # (max) edcat=4",="",="",="",="",="",="",="0.00",=""
="",="",="",="",="",="",="",="(.)",=""
="Constant",="-1.67",="***",="-1.83",="***",="-1.83",="***",="-1.83",="***"
="",="(0.01)",="",="(0.05)",="",="(0.05)",="",="(0.05)",=""
="AIC",="",="",="",="",="",="",="",=""
="N",="3111.00",="",="3111.00",="",="3111.00",="",="3111.00",=""
="* p<0.05, ** p<0.01, *** p<0.001"
